Frequency ranking,Lexeme,Standard Orthography (in newspapers),Standard Reading (in Hiragana),Meaning
32,御,お,お,
105,第,第,だい,
179,大,大,だい,
208,本,本,ほん,
219,不,不,ふ,
382,小,小,しょう,
421,無,無,む,
496,約,約,やく,
501,新,新,しん,
652,各,各,かく,
677,真,真,しん,
744,非,非,ひ,
748,高,高,こう,
815,再,再,さい,
1028,諸,諸,しょ,
1034,全,全,ぜん,
1203,総,総,そう,
1486,超,超,ちょう,
1759,副,副,ふく,
1878,低,低,てい,
2154,現,現,げん,
2380,反,反,はん,
2380,被,被,ひ,
2784,多,多,た,
2987,聖,聖,せい,
3121,計,計,けい,
3182,古,古,こ,
3285,短,短,たん,
3389,翌,翌,よく,
3423,素,素,そ,
3573,原,原,げん,
3637,異,異,い,
3781,有,有,ゆう,
3851,老,老,ろう,
3987,好,好,こう,
4802,広,広,こう,
4812,過,過,か,
4820,来,来,らい,
5308,純,純,じゅん,
5717,微,微,び,
5986,休,休,きゅう,
6049,準,準,じゅん,
6265,亜,亜,あ,
6685,遠,遠,えん,
6778,抗,抗,こう,
6997,双,双,そう,
7155,少,少,わかい,
7356,一大,一大,いちだい,
7405,定,定,てい,
7422,早,早,はや,
7692,単,単,たん,
7733,脱,脱,だつ,
7821,深,深,ふかい,
8137,雑,雑,ざつ,
8454,従,従,じゅう,
8585,貴,貴,き,
8611,続,続,ぞく,
9026,在,在,ざい,
10145,近,近,きん,
10614,除,除,じょ,
10915,猛,猛,もう,
11024,快,快,かい,
11193,試,試,し,
11251,温,温,おん,
11707,乾,乾,かん,
12525,活,活,かつ,
12837,養,養,よう,
13540,廃,廃,はい,
13898,仄,ほの,ほの,
15032,翌々,翌々,よくよく,
15468,追,追,つい,
15574,誤,誤,ご,
15574,曾,曾,,
15831,開,開,かい,
15963,永,永,えい,
16211,与,与,よ,
16474,突,突,とつ,
17145,粗,粗,そ,
17632,遺,遺,い,
17632,排,排,はい,
18236,聴,聴,ちょう,
18236,既,既,き,
18778,細,細,さい,
18951,沈,沈,ちん,
19497,絶,絶,ぜつ,
20298,希,希,き,
20527,昨,昨,さく,
20527,向,向,こう,
20979,駐,駐,ちゅう,
20979,消,消,しょう,
22135,頻,頻,ひん,
22135,干,干,ひ,
22657,射,射,しゃ,
23216,破,破,は,
24074,吸,吸,きゅう,
25068,閉,閉,へい,
25068,複,複,ふく,
25429,狭,狭,きょう,
25429,終,終,しゅう,
26152,軟,軟,なん,
26548,汎,汎,はん,
26548,逸,逸,いつ,
27350,潜,潜,せん,
27350,焼,焼,しょう,
31891,接,接,せつ,
31891,該,該,がい,
32501,催,催,さい,
35236,卑,卑,ひ,
35236,硬,硬,こう,
35236,磁,磁,じ,
36829,擬,擬,ぎ,
36829,訪,訪,ほう,
36829,偉,偉,い,
39617,導,導,どう,
40698,奪,奪,だつ,
41842,しち,七,しち,
41842,窮,窮,きゅう,
41842,避,避,ひ,
49232,いけ,池,いけ,
53646,促,促,そく,
53646,嗅,＊,きゅう,
53646,準々,じゅんじゅん,じゅんじゅん,
63094,慣,慣,かん,
63094,挟,挟,きょう,
63094,昇,昇,しょう,
73941,閃,閃,せん,