No.,Vocabulary,Reading,Meaning
1,お金,【おかね】,money
2,いしゃ,【医者】,doctor
3,お母さん,【おかあさん】,mother
4,がくせい,【学生】,student
5,駅,【えき】,station
6,時間,【じかん】,① time ② hours
7,日本語 ,【にほんご】,Japanese (language)
8,毎日,【まいにち】,every day
9,何,【なに】,① what ② how many (some counter)
10,魚,【さかな】,fish
11,映画,【えいが】,"movie, film"
12,楽しい,【たのしい】,"enjoyable, fun"
13,好き,【すき】,"liking, fondness, love"
14,広い,【ひろい】,"spacious, vast, wide"
15,食べる,【たべる】,to eat
16,買う,【かう】,① to buy
17,話す,【はなす】,to speak
18,行く,【いく】,"① to go ② to proceed, to take place"
19,乗る,【のる】,"① to get on, to ride in, to board"
20,掛かる,【かかる】,"① to take ② to hang ③ to come into view, to arrive"