Verb,Reading,Meaning
いる,iru,"to be, to exist, to be needed"
する,suru,"to do, to carry out"
ある,aru,"to be, to exist, to have"
なる,naru,to become
できる,dekiru,to be able to do
思う,omou,to think
言う,iu,to say
くる,kuru,to come
いく,iku,to go
行う,okonau,"to perform, to conduct"
下さる,kudasaru,"to give, to confer, to bestow"
見る,miru,to see
考える,kangaeru,to consider
しまう,shimau,"to finish, to stop, to end"
持つ,motsu,"to hold, to carry"
おる,oru,"to be, to exist"
分かる,wakaru,to understand
使う,tsukau,to use
出る,deru,"to leave, to exit"
いただく,itadaku,"to receive, to get, to accept"
作る,tsukuru,"to make, to produce"
やる,yaru,to do
受ける,ukeru,"to receive, to get"
くれる,kureru,to give
知る,shiru,to know
入る,hairu,to enter
行く,iku,to go
聞く,kiku,"to hear, to listen, to ask"
てる,teru,to shine
感じる,kanjiru,"to feel, to sense"
書く,kaku,to write
来る,kuru,to come
しれる,shireru,to become known
違う,chigau,to differ
得る,eru,"to earn, to gain"
見える,mieru,"to be seen, to be insight"
出す,dasu,"to take out, to get out"
入れる,ireru,"to put in, to let in"
もらう,morau,to receive
致す,itasu,to do
つく,tsuku,"to arrive, to reach"
言える,yueru,"to say, to utter"
変わる,kawaru,"to change, to be transformed"
読む,yomu,to read
呼ぶ,yobu,to call
食べる,taberu,to eat
かかる,kakaru,"to take, to hang, to start"
利用する,riyousuru,"use, utilization"
求める,motomeru,"to want, to wish for"
つける,tsukeru,"to attach, to join, to wear"
使用する,shiyousuru,"use, application"
化する,kasuru,"to change into, to convert into"
与える,ataeru,"to give, to bestow"
含む,fukumu,
いける,ikeru,
いただける,itadakeru,
示す,shimesu,
教える,oshieru,
認める,mitomeru,
かける,kakeru,
取る,toru,
生きる,ikiru,
進む,susumu,
紹介する,shoukaisuru,
合わせる,awaseru,
異なる,kotonaru,
選ぶ,erabu,
とる,toru,
飲む,nomu,
増える,fueru,
関わる,kakawaru,
続く,tsuzuku,
置く,oku,
買う,kau,
続ける,tsuzukeru,
働く,hataraku,
確認する,kakuninsuru,
決める,kimeru,
伝える,tsutaeru,
過ぎる,sugiru,
進める,susumeru,
学ぶ,manabu,
存在する,sonzaisuru,
用いる,mochiiru,
生まれる,umareru,
起こる,okoru,
始める,hajimeru,
始まる,hajimaru,
残る,nokoru,
定める,sadameru,
発生する,hasseisuru,
変える,kaeru,
実施する,jisshisuru,
提供する,teikyousuru,
目指す,mezasu,
歩く,aruku,
終わる,owaru,
理解する,rikaisuru,
描く,egaku,
いく,iku,
説明する,setsumeisuru,
開く,hiraku,
頑張る,ganbaru,
守る,mamoru,
戻る,modoru,
含める,fukumeru,
参加する,sankasuru,
続ける,tsuzukeru,
つながる,tsunagaru,
表示する,hyoujisuru,
取り組む,torikumu,
送る,okuru,
生じる,shoujiru,
気づく,kizuku,
お願いする,onegaisuru,
楽しむ,tanoshimu,
帰る,kaeru,
乗る,noru,
覚える,oboeru,
述べる,noberu,
走る,hashiru,
忘れる,wasureru,
対応する,taiousuru,
図る,hakaru,
探す,sagasu,
立つ,tatsu,
住む,sumu,
現れる,arawareru,
超える,koeru,
過ぎる,sugiru,
起きる,okiru,
調べる,shiraberu,
話す,hanasu,
残す,nokosu,
待つ,matsu,
死ぬ,shinu,
語る,kataru,
申し上げる,moushiageru,
打つ,utsu,
向かう,mukau,
見せる,miseru,
作成する,sakuseisuru,
上がる,agaru,
繰り返す,kurikaesu,
信じる,shinjiru,
検討する,kentousuru,
当たる,ataru,
なくなる,nakunaru,
動く,ugoku,
会う,au,
決まる,kimaru,
付ける,tsukeru,
くださる,kudasaru,
まとめる,matomeru,
判断する,handansuru,
思える,omoeru,
起こす,okosu,
使える,tsukaeru,
上げる,ageru,
おる,oru,
見つける,mitsukeru,
購入する,kounyuusuru,
設定する,setteisuru,
実現する,jitsugensuru,
失う,ushinau,
答える,kotaeru,
選択する,sentakusuru,
える-非自立,eru,
付く,tsuku,
ちゃう-非自立,chau,
設置する,secchisuru,
離れる,hanareru,
活かす,ikasu,
用意する,youisuru,
止まる,tomaru,
分ける,wakeru,
広がる,hirogaru,
困る,komaru,
なす,nasu,
止める,tomeru,
開催する,kaisaisuru,
比べる,kuraberu,
やる-非自立,yaru,
活用する,katsuyousuru,
掲載する,keisaisuru,
勧める,susumeru,
切る,kiru,
期待する,kitaisuru,
加える,kuwaeru,
向ける,mukeru,
至る,itaru,
ござる,gozaru,
もらえる-非自立,moraeru,
基づく,motozuku,
避ける,yokeru,
支払う,shiharau,
売る,uru,
過ごす,sugosu,
除く,nozoku,
迎える,mukaeru,
育てる,sodateru,
変更する,henkousuru,
挙げる,ageru,
高める,takameru,
知れる,shireru,
記載する,kisaisuru,
落ちる,ochiru,
押す,osu,
なれる,nareru,
限る,kagiru,
変化する,henkasuru,
似る,niru,
立てる,tateru,
集まる,atsumaru,
あげる,ageru,
致す,itasu,
驚く,odoroku,
伴う,tomonau,
提出する,teishutsusuru,
注意する,chuuisuru,
引く,hiku,
指定する,shiteisuru,
集める,atsumeru,
する,suru,
評価する,hyoukasuru,
勉強する,benkyousuru,
触れる,fureru,
有する,yuusuru,
届く,todoku,
減る,heru,
流れる,nagareru,
もらう,morau,
支える,tsukaeru,
努める,tsutomeru,
寝る,neru,
安心する,anshinsuru,
設ける,moukeru,
悩む,nayamu,
相談する,soudansuru,
払う,harau,
決定する,ketteisuru,
扱う,atsukau,
優れる,sugureru,
やめる,yameru,
果たす,hatasu,
出会う,deau,
まいる-非自立,mairu,
渡る,wataru,
認識する,ninshikisuru,
受け入れる,ukeireru,
訪れる,otozureru,
掲げる,kakageru,
喜ぶ,yorokobu,
願う,negau,
クリックする,kurikkusuru,
居る,iru,
発表する,happyousuru,
取れる,toreru,
解決する,kaiketsusuru,
通う,kayou,
貼る,haru,
許す,yurusu,
経る,heru,
増やす,fuyasu,
伝わる,tsutawaru,
愛する,aisuru,
意識する,ishikisuru,
登録する,tourokusuru,
表現する,hyougensuru,
通る,tooru,
聞こえる,kikoeru,
抱える,kakaeru,
借りる,kariru,
採用する,saiyousuru,
展開する,tenkaisuru,
改善する,kaizensuru,
動かす,ugokasu,
成長する,seichousuru,
比較する,hikakusuru,
指摘する,shitekisuru,
望む,nozomu,
該当する,gaitousuru,
おっしゃる,ossharu,
確保する,kakuhosuru,
取得する,shutokusuru,
思い出す,omoidasu,
もたらす,motarasu,
開発する,kaihatsusuru,
受け取る,uketoru,
導入する,dounyuusuru,
適用する,tekiyousuru,
なさる-非自立,nasaru,
遊ぶ,asobu,
考慮する,kouryosuru,
下がる,sagaru,
開始する,kaishisuru,
満たす,mitasu,
開ける,akeru,
登場する,toujousuru,
係る,kakaru,
発見する,hakkensuru,
回る,mawaru,
移動する,idousuru,
成功する,seikousuru,
撮る,toru,
並ぶ,narabu,
捨てる,suteru,
笑う,warau,
見つかる,mitsukaru,
慣れる,nareru,
構成する,kouseisuru,
取り上げる,toriageru,
把握する,haakusuru,
表す,arawasu,
報告する,houkokusuru,
従う,shitagau,
流す,nagasu,
問う,tou,
規定する,kiteisuru,
防ぐ,fusegu,
負う,ou,
話する,hanashisuru,
消える,kieru,
保つ,tamotsu,
登る,noboru,
抑える,osaeru,
育つ,sodatsu,
占める,shimeru,
暮らす,kurasu,
増加する,zoukasuru,
結ぶ,musubu,
意味する,imisuru,
入力する,nyuuryokusuru,
戦う,tatakau,
重ねる,kasaneru,
維持する,ijisuru,
見なす,minasu,
ゆく-非自立,yuku,
役立つ,yakudatsu,
販売する,hanbaisuru,
抱く,daku,
おく,oku,
運ぶ,hakobu,
充実する,juujitsusuru,
着る,kiru,
いらっしゃる,irassharu,
結婚する,kekkonsuru,
推進する,suishinsuru,
越える,koeru,
まつ,matsu,
注目する,chuumokusuru,
管理する,kanrisuru,
落とす,otosu,
主張する,shuchousuru,
楽しめる,tanoshimeru,
備える,sonaeru,
応じる,oujiru,
間違う,machigau,
殺す,korosu,
広げる,hirogeru,
公開する,koukaisuru,
高まる,takamaru,
座る,suwaru,
経験する,keikensuru,
経つ,tatsu,
よる,yoru,
生み出す,umidasu,
安定する,anteisuru,
協力する,kyouryokusuru,
希望する,kibousuru,
近づく,chikazuku,
チェックする,chekkusuru,
捉える,toraeru,
担当する,tantousuru,
通じる,tsuujiru,
担う,ninau,
支援する,shiensuru,
抜ける,nukeru,
関連する,kanrensuru,
取り入れる,toriireru,
落ち着く,ochitsuku,
発展する,hattensuru,
及ぶ,oyobu,
心がける,kokorogakeru,
終了する,shuuryousuru,
渡す,watasu,
建てる,tateru,
継続する,keizokusuru,
成立する,seiritsusuru,
出す-非自立,dasu,
実行する,jikkousuru,
助ける,tasukeru,
連れる,tsureru,
向く,muku,
泣く,naku,
亡くなる,nakunaru,
足りる,tariru,
減らす,herasu,
歌う,utau,
達する,tassuru,
降りる,oriru,
提案する,teiansuru,
反映する,haneisuru,
低下する,teikasuru,
生む,umu,
構う,kamau,
形成する,keiseisuru,
伸びる,nobiru,
計算する,keisansuru,
溢れる,afureru,
拡大する,kakudaisuru,
たつ,tatsu,
通す,toosu,
減少する,genshousuru,
感謝する,kanshasuru,
訴える,uttaeru,
発揮する,hakkisuru,
要する,yousuru,
指す,sasu,
努力する,doryokusuru,
出かける,dekakeru,
付き合う,tsukiau,
こだわる,kodawaru,
逃げる,nigeru,
試す,tamesu,
完成する,kanseisuru,
活躍する,katsuyakusuru,
散る,chiru,
任せる,makaseru,
重視する,juushisuru,
飛ぶ,tobu,
切れる-非自立,kireru,
負ける,makeru,
出る-非自立,deru,
発行する,hakkousuru,
表する,hyousuru,
目立つ,medatsu,
掛ける,kakeru,
当てる,ateru,
活動する,katsudousuru,
とれる,toreru,
かねる-非自立,kaneru,
行動する,koudousuru,
狙う,nerau,
伸ばす,nobasu,
戻す,modosu,
外す,hazusu,
要求する,youkyuusuru,
隠す,kakusu,
遅れる,okureru,
着く,tsuku,
寄せる,yoseru,
行ける,yukeru,
あう-非自立,au,
頼む,tanomu,
疲れる,tsukareru,
迷う,mayou,
保存する,hozonsuru,
分かれる,wakareru,
振り返る,furikaeru,
切る-非自立,kiru,
否定する,hiteisuru,
下げる,sageru,
もらえる,moraeru,
関係する,kankeisuru,
深める,fukameru,
返す,kaesu,
体験する,taikensuru,
取り扱う,toriatsukau,
整備する,seibisuru,
怒る,okoru,
整える,totonoeru,
抜く,nuku,
生活する,seikatsusuru,
増す,masu,
作り出す,tsukuridasu,
整理する,seirisuru,
勝つ,katsu,
貢献する,koukensuru,
想定する,souteisuru,
達成する,tasseisuru,
加入する,kanyuusuru,
構築する,kouchikusuru,
追加する,tsuikasuru,
導く,michibiku,
及ぼす,oyobosu,
うる-非自立,uru,
影響する,eikyousuru,
伺う,ukagau,
眺める,nagameru,
研究する,kenkyuusuru,
接する,sessuru,
集中する,shuuchuusuru,
心配する,shinpaisuru,
追う,ou,
つなぐ,tsunagu,
ひる,hiru,
見直す,minaosu,
依頼する,iraisuru,
終える,oeru,
撮影する,satsueisuru,
できる-非自立,dekiru,
迫る,semaru,
売れる,ureru,
解説する,kaisetsusuru,
絞る,shiboru,
サポートする,sapotosuru,
築く,kizuku,
無視する,mushisuru,
指導する,shidousuru,
運営する,uneisuru,
陥る,ochiiru,
分析する,bunsekisuru,
引き起こす,hikiokosu,
向上する,koujousuru,
招く,maneku,
提示する,teijisuru,
失敗する,shippaisuru,
組む,kumu,
済む,sumu,
申し込む,moushikomu,
予想する,yosousuru,
携わる,tazusawaru,
はっきりする,hakkirisuru,
強化する,kyoukasuru,
耐える,taeru,
促す,unagasu,
効く,kiku,
確立する,kakuritsusuru,
回復する,kaifukusuru,
役に立つ,yakunitatsu,
関する,kansuru,
辞める,yameru,
実践する,jissensuru,
治る,naoru,
つかむ,tsukamu,
議論する,gironsuru,
調整する,chouseisuru,
上昇する,joushousuru,
いる,iru,
受け止める,uketomeru,
成り立つ,naritatsu,
奪う,ubau,
実感する,jikkansuru,
救う,sukuu,
配慮する,hairyosuru,
処理する,shorisuru,
囲む,kakomu,
アップする,appusuru,
請求する,seikyuusuru,
揃う,sorou,
癒す,iyasu,
観察する,kansatsusuru,
巡る,meguru,
共有する,kyouyuusuru,
促進する,sokushinsuru,
スタートする,sutatosuru,
行える,okonaeru,
記録する,kirokusuru,
倒す,taosu,
洗う,arau,
とらえる,toraeru,
設立する,setsuritsusuru,
質問する,shitsumonsuru,
回す,mawasu,
頼る,tayoru,
でき上がる,dekiagaru,
見かける,mikakeru,
詰まる,tsumaru,
想像する,souzousuru,
作れる,tsukureru,
組み合わせる,kumiawaseru,
割る,waru,
お薦めする,osusumesuru,
保護する,hogosuru,
応援する,ouensuru,
公表する,kouhyousuru,
代表する,daihyousuru,
休む,yasumu,
強調する,kyouchousuru,
満足する,manzokusuru,
吸う,suu,
適する,tekisuru,
測る,hakaru,
加わる,kuwawaru,
記する,kisuru,
振る,furu,
覆う,oou,
叩く,hataku,
施行する,shikousuru,
咲く,saku,
載る,noru,
別れる,wakareru,
禁止する,kinshisuru,
記入する,kinyuusuru,
支給する,shikyuusuru,
調査する,chousasuru,
移る,utsuru,
恐る,osoreru,
対する,taisuru,
疑う,utagau,
届ける,todokeru,
尋ねる,tazuneru,
積む,tsumu,
納得する,nattokusuru,
降る,kudaru,
切れる,kireru,
消す,kesu,
証明する,shoumeisuru,
祈る,inoru,
包む,tsutsumu,
貸す,kasu,
下す,kudasu,
無くなる,nakunaru,
びっくりする,bikkurisuru,
降る,furu,
立ち上げる,tachiageru,
嫌う,kirau,
一致する,icchisuru,
気がつく,kigatsuku,
応える,kotaeru,
解消する,kaishousuru,
経過する,keikasuru,
出せる,daseru,
吸収する,kyuushuusuru,
塗る,nuru,
食う,kuu,
褒める,homeru,
去る,saru,
作り上げる,tsukuriageru,
恵まれる,megumareru,
申す,mousu,
あり得る,arieru,
乗せる,noseru,
優先する,yuusensuru,
苦しむ,kurushimu,
検索する,kensakusuru,
務める,tsutomeru,
持てる,moteru,
並べる,naraberu,
発する,hassuru,
やって来る,yattekuru,
挑戦する,chousensuru,
配置する,haichisuru,
味わう,ajiwau,
移す,utsusu,
苦労する,kurousuru,
引き出す,hikidasu,
限定する,genteisuru,
交換する,koukansuru,
到着する,touchakusuru,
輝く,kagayaku,
見つめる,mitsumeru,
尊重する,sonchousuru,
更新する,koushinsuru,
合格する,goukakusuru,
破壊する,hakaisuru,
焼く,yaku,
諦める,akirameru,
徹底する,tetteisuru,
訪問する,houmonsuru,
乗り越える,norikoeru,
めざす,mezasu,
閉じる,tojiru,
載せる,noseru,
卒業する,sotsugyousuru,
踏む,fumu,
握る,nigiru,
眠る,nemuru,
取り除く,torinozoku,
接続する,setsuzokusuru,
断る,kotowaru,
連絡する,renrakusuru,
かく,kaku,
読める,yomeru,
誤る,ayamaru,
独立する,dokuritsusuru,
連携する,renkeisuru,
位置する,ichisuru,
演じる,enjiru,
掛かる,kakaru,
叫ぶ,sakebu,
解く,hodoku,
進行する,shinkousuru,
誘う,sasou,
控える,hikaeru,
好む,konomu,
受け付ける,uketsukeru,
浮かぶ,ukabu,
負担する,futansuru,
悪化する,akkasuru,
施す,hodokosu,
重なる,kasanaru,
上回る,uwamawaru,
しかる,shikaru,
襲う,osou,
壊れる,kowareru,
獲得する,kakutokusuru,
助かる,tasukaru,
いらっしゃる-非自立,irassharu,
準備する,junbisuru,
見出だす,miidasu,
稼ぐ,kasegu,
取り戻す,torimodosu,
吊る,tsuru,
機能する,kinousuru,
く-非自立,ku,
削除する,sakujosuru,
間違える,machigaeru,
倒れる,taoreru,
磨く,migaku,
話し合う,hanashiau,
見守る,mimamoru,
測定する,sokuteisuru,
確かめる,tashikameru,
放つ,hanatsu,
被る,kaburu,
出現する,shutsugensuru,
感動する,kandousuru,
投げる,nageru,
完了する,kanryousuru,
追求する,tsuikyuusuru,
予定する,yoteisuru,
分類する,bunruisuru,
生ける,ikeru,
挟む,hasamu,
注ぐ,sosogu,
踏まえる,fumaeru,
きく,kiku,
しゃべる,shaberu,
急ぐ,isogu,
支配する,shihaisuru,
申請する,shinseisuru,
停止する,teishisuru,
反対する,hantaisuru,
引っ張る,hipparu,
数える,kazoeru,
不足する,fusokusuru,
ずれる,zureru,
生産する,seisansuru,
削る,kezuru,
告げる,tsugeru,
欠く,kaku,
放置する,houchisuru,
