Japanese,Romaji,English,Sentence
ののしる,nonoshiru,abuse verbally,彼女はさんざん私の事をののしった。She called me many terrible things.
馴染む,najimu,adapt to,旧弊な人は新しい事になじめない。You can’t teach an old dog new tricks.
足す,tasu,add,"砂糖を少し足して下さい。
Add a bit of sugar, please."
加える,kuwaeru,add to,"それに私も加えておいて。
Count me in."
答える,kotaeru,answer,"私は質問に答えたでしょうか。
Have I answered your question?"
着く,tsuku,arrive,あなたがロンドンに着くころ頃には晩秋となっているだろう。It will be late autumn when you get to London.
志す,kokorozasu,aspire to,"彼はやろうと志すものは、何でもやり遂げる。
He accomplishes whatever he sets out to do."
襲う,osou,attack,"台風が東京を襲った。
The typhoon hit Tokyo."
"目立つ
めだつ",medatsu,"attract attention, stand out","林に竹が目立つ。
Bamboo stands out in the woods."
避ける,sakeru,"avoid, dodge",揚げ物はしばらく避けなさい。 Avoid fried foods for a while.
焼く,yaku,"bake, grill",母は日曜日にはクッキーを焼く。 Mother bakes cookies on Sundays. ▾
禁じる,kinjiru,"ban, prohibit",彼女は喫煙を禁じられた。 She was prohibited from smoking.
いる,iru,be,田中さんはいないです。Mr. Tanaka isn’t here.
ふける,fukeru,be absorbed in/obsessed by,彼女は飲酒にふけった。 She abandoned herself to drinking.
生きる,ikiru,be alive,生きる意味を教えてくれ。 Tell me the meaning of life.
聞こえる,kikoeru,"be audible, able to hear",虫の音がきこえます。 I can hear the chirping of insects.
基づく,motozuku,be based on,彼女は事実に基づいて議論を展開する。 Her argument was founded on fact.
眩む,kuramu,"be blinded, get dizzy",彼女はその豪華な部屋に目のくらむ思いがした。 She was dazzled by the gorgeous room.
生まれる,umareru,be born,"油断なく注意さえしておれば好機はおのずからうまれる。 Plenty of opportunities will present themselves, if only you are awake to them. ▾"
折れる,oreru,"be broken, snap",彼は顎の骨を折って、歯も何本か折れた。 He got a broken jaw and lost some teeth.
焦げる,kogeru,"be burned, charred",このコーヒーはこげた味がする。 This coffee tastes burnt.
治る,naoru,"be cured, healed",風邪が治るのに長くかかった。 It took me a long time to get over my cold.
決まる,kimaru,"be decided, agreed upon",話は決まった。 Let’s leave it at that.
異なる,kotonaru,be different from,毎日同じ教室を２つの異なった生徒達の集団で使っているのです。 We use the same classroom for two different groups of students each day.
違う,chigau,"be different, wrong",運んできてくれたランチは噂に違わず旨
酔っ払う,yopparau,be drunk,"私は少し酔っている。
I am a bit drunk."
足りる,tariru,"be enough, suffient",必要を満たすに足りる収入。 An income adequate for one’s needs.
ドキドキする,dokidoki suru,be excited,"彼は次の旅行の事を考えると、ドキドキする。
Whenever he thinks of the trip he’s got coming up, he gets all excited."
見つかる,mitsukaru,be found,"明日の朝起きたらすてきなものが見つかるよ。 When you wake up tomorrow morning, you will find a wonderful thing. ▾"
,tamagiru,be frightened,彼女がワインをからにしたのにはたまげた。 I was amazed that she had drunk all of the wine.
喜ぶ,yorokobu,"be glad, pleased","喜んで行きます。
I’ll be glad to come."
困る,komaru,be in trouble,"会社をクビになったけど、貯金がすこしあるので、差し詰め生活には困らない。 I got fired from the company, but since I have a little money saved up, for the time being, I won’t have trouble with living expenses."
遅れる,okureru,"be late, lag behind",列車は雪のため遅れた。 The train was delayed by snow.
怠ける,namakeru,be lazy,彼は勉強を怠けている。 He is lazy in his study.
無くなる,nakunaru,"be missing, vanish",欲に目がくらんで判断力が無くなったらしい。 Greed seems to have blinded his good judgement.
混じる,majiru,"be mixed,",トムは知らない人に混じって居心地が悪かった。 Tom is ill at ease among strangers.
次ぐ,tsugu,be next,きれい好きは敬神に次ぐ美徳。 Cleanliness is next to godliness.
緊張する,kinchou suru,be nervous,緊張する必要はありまんせん. There’s no need to be nervous.
もてる,moteru,be popular,彼はモテる。He’s popular with the ladies.
儲かる,mokaru,"be profitable, make money",この商売は儲かりません。 There isn’t much money in this business
迷う,mayou,be puzzled,彼は森で迷った。 He lost his way in the woods.
蘇る,yomigaeru,be resurrected;,春の雨が花に生気をよみがえらせた。A spring rain revived the flower.
悲しむ,kanashimu,"be sad, grieve",悲しんでいる彼女をそっとしておきなさい。 Don’t intrude on her sorrow.
たまる,tamaru,"be saved, accumulated",彼は借金がたまって夜逃げ同然に町を去った。 He was deeply in debt. And he and his family skipped town. ▾
滑る,numeru,be slippery,彼女はすべらないようにゆっくりと歩いた。 She walked slowly so she wouldn’t slip. ▾
驚く,odoroku,"be suprised, amazed","トムは驚いた。
Tom was shocked."
見える,mieru,"be visible, able to see",モロに見える。It’s completely visible.
恨む,uramu,bear a grudge,"セーラは恨むような女の子ではないだろうが。
Well, I don’t think Sara is the sort of girl to bear grudges."
なる,naru,become,"春になった。
Spring is here."
霞む,kasumu,"become blurred, hazy","くの物がかすんで見えます。
Distant things look blurred."
込む,komu,become crowded,The train is very crowded this evening.
現る,kageru,become dark,"月が雲のかげから現れた。
The moon emerged from behind the cloud."
乾く,kawaku,become dry,"乾いた砂は水を吸い込む。
Dry sand absorbs water."
"空く
すく",suku,"become empty, uncrowded","お腹は空いていますか？
Are you hungry?"
痛む,itamu,"become hurt, damaged","背中が痛む。
My back hurts."
流行る,hayaru,become popular,"今何が流行っていますか。
What is popular now?"
強まる,tsuyomaru,become stronger,"年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ。
Passions weaken, but habits strengthen, with age."
濡れる,nureru,become wet,"それが濡れている
That is wet."
始まる,hajimaru,begin,"映画が始まります。
The movie starts."
信じる,shinjiru,believe,僕()は君()を信()じる。I believe you.
みくびる,mikubiru,"belittle, despise","その運転選手は決して相手をみくびるようなことはしない。
The student insulted the teacher."
捻る,hineru,"bend, twist","体を捻ってから下までしゃがみます。
After twisting your body, squat down."
噛む,kamu,bite,"あなたの犬は噛む？
Does your dog bite?"
咲く,saku,bloom,"花は咲く。
Flowers bloom."
吹く,fuku,"blow, wipe","風が吹く。
The wind blows."
乗る,noru,"board, ride on",バスに乗()りなさい。Take a bus.
威張る,ibaru,boast,"彼はいつもいばりちらしています。
He is always throwing his weight around."
借りる,kariru,"borrow, rent","ペン借りていい？
Can I borrow your pen?"
壊れる,kowareru,break,"シャワーが壊れた。
The shower is broken."
呼吸する,koukyuu suru,breathe,"酸素は私たちが呼吸すると肺の中に取り込まれる。
Oxygen is taken into our lungs when we breathe."
切れる,kireru,"break, cut off, expire","お茶が切れています。
We’ve run out of tea."
立てる,tateru,build,"誰が立てたのですか。
Who built it?"
焼ける,yakeru,burn,"焼けるように熱い。
It is broiling hot."
買う,kau,buy,"これを買います。
I’ll buy this."
呼ぶ,yobu,call,"警察を呼んで！
Call the police"
電話する,denwa suru,call (phone),"後で電話して!
Call me later!"
出来る,dekiru,"can, be able","ボブは料理ができる。
Bob can cook."
気を付ける,ki wo tsukeru,care,"お体にお気を付けください。
Please take care of yourself."
構う,kamau,"care about, mind","どっちでも構いません。
It doesn’t matter."
運ぶ,hakobu,carry,これを運んでください。Carry this for me.
担ぐ,katsugu,carry on one’s shoulders,"彼は肩に銃を担いだ。
He carried a rifle on his shoulder."
挟む,hasamu,"catch, hold (between two things)",ドアに指をはさみました。I caught my finger in the door.
祝う,iwau,"celebrate, congratulate","七夕は七月に祝う。
We celebrate the Star Festival in July."
変える,kaeru,change,老人が考えを変えるのは難しい。 It is hard for an old man to change his way of thinking.
変わる,kawaru,change,"流行はすぐ変わります。
Fashions change quickly."
追う,ou,"chase, drive away",あの車を追ってくれ。Follow that car.
喋る,shaberu,chatter,僕たちの計画を誰にもしゃべるな。 Don’t mention our plan to anybody.
調べる,shiraberu,"check, investigate","私はその事件を調べた。
I looked into the incident."
噛む,kamu,chew,"食物をよくかみなさい。
Chew your food well."
選ぶ,erabu,"choose, select","これを選びます。
This is my choice"
食い違う,kuichigau,"clash, disagree","この点で私たちの意見が食い違うのは確かだ。
It is on this point that our opinions differ."
晴れる,hareru,"clear up, tidy up",空が晴れた。The sky has become clear.
登る,noboru,climb,"猿は木に登る。
Monkeys climb trees."
閉まる,shimaru,"close, be closed","ドアが閉まるの聞こえた。
I heard the door close."
崩れる,kuzureru,"collapse, cave in","壁が地震で崩れた。
The wall gave way in the earthquake."
来る,kuru,come,"来られますか。
Can you come?"
外れる,hazureru,"come off, go wide","彼の話は要点をはずれている。
His talk is off the point."
解ける,hodokeru,"come untied, loose","靴紐が解けていますよ。
Your shoes are untied."
慰める,nagusameru,comfort,"私は彼女を慰めることができる。
I can comfort her."
言いつける,iitsukeru,command,"彼は私にそれをするように言いつけた。
He told me to do it."
通う,kayou,commute,"兵庫大学に通っています。
I go to Hyogo University."
比べる,kuraberu,compare,"ロンドンは東京に比べて小さい。
London is smaller than Tokyo."
文句を言う,monku wo iu,complain,"文句を言うな。
Don’t complain."
凝らす,korasu,concentrate,"彼は息を凝らしてその光景を見つめていた。
He was watching the scene with breathless interest."
繋ぐ,tsunagu,"connect, fasten",彼は犬を木につないだ。 He tied the dog to a tree.
連絡する,renraku suru,contact,"手紙で連絡してください。
Please contact me by letter."
続ける,tsuzukeru,continue,ぜひ練習()を続()けなさい。Do keep practicing!
続く,tsuzuku,"continue, follow",吹雪が続いた。The snowstorm continued.
料理する,ryouri suru,cook,"今晩は私が料理します。
I’ll cook for you tonight."
冷やす,hiyasu,"cool, refridgerate","頭を冷やせよ。
Calm down."
冷える,hieru,cool down,"今夜は冷えるでしょう。
It will cool down tonight."
数える,kazoeru,count,"３０まで数えなさい。
Count up to thirty."
渡る,wataru,cross,"通りを渡れ。
Cross the street."
越す,kosu,"cross, pass, move ahead","彼は４０歳を越している。
He is past forty."
砕く,kudaku,"crush, smash",愛は人の心を砕くこともできるのさ。 But love can break your heart.
鳴く,naku,cry,鳥は鳴く。Birds sing.
切る,kiru,cut,"それを半分にきりなさい。
Cut it in half."
踊る,odoru,dance,"私も踊るのが好きです。
I like dancing too."
付き合う,tsukiau,date,"君達はいつからつきあっているのですか。
How long have you been dating?"
腐る,kusaru,"decay, go bad, be depressed","牛乳が腐った。
The milk has gone bad."
偽る,itsuwaru,"deceive, lie","彼は年齢を偽った。
He lied about his age."
決める,kimeru,"decide, choose","決めました。
I made my decision."
定める,sadameru,"decide, establish",それは法律が定めていることである。It is what the law ordains.
飾る,kazaru,"decorate, display","話はかわりますが。
To change the subject."
減る,heru,"decrease, reduce","この町の人口は減った。
The population of this city has decreased."
負かす,makasu,defeat,"チェスで人を負かす。
Beat a person at chess."
配達する,haitatsu suru,deliver,"日曜日に配達していますか。
Do you deliver on Sundays?"
配達,tayoru,depend on,"に頼るな。
Don’t rely on him."
言い表す,iiarawasu,describe,その物体がどんな物か言い表す事が出来ますか。Can you describe the object?
崩す,kuzusu,"destroy, break down","酒で彼は身を崩した。
Drink brought about his downfall."
滅ぼす,horobosu,"destroy, ruin",彼は酒で身を滅ぼした。Drinking was his ruin.
死ぬ,shinu,die,"退屈で死にそうだ。
I am bored to death."
掘る,horu,dig,"彼は穴をほった。
He dug a hole."
話し合う,hanashiau,Discuss,虚心坦懐に話し合った。We talked quite frankly.
嫌がる,iyagaru,"dislike, hate","猫はぬれるのを嫌がる。
Cats dislike being wet."
忘ける,wakeru,"divide, separate",それを３人の間で分けよ。Divide it among the three.
離婚する,rikon suru,divorce,どちらかといえば彼とは離婚したい。
する,suru,do,ログアウトするんじゃなかったよ。 I shouldn’t have logged off.
やる,yaru,do,やりますか。Will you do it?
頑張る,ganbaru,do your best,"彼は一生懸命がんばる。
He tries hard."
ダウンロードする,daunro-do suru,download,"このプログラムを持っていないならば、今ダウンロードすることができます。
If you do not have this program, you can download it now."
,utagau,"doubt, suspect",疑う余地はない。There is no room for doubt.
描く,kaku,draw,"彼はよく風景を描く。
He often paints landscapes."
飲む,nomu,drink,"コーヒーを飲むの？
Do you drink coffee?"
する,untensuru,drive,"安全運転してね。
Drive safely."
運転,kawakasu,dry,"どうして髪を乾かしているの。
Why are you drying your hair?"
干す,hosu,"dry, air",蒲団を干して下さい。Air the futon.
食べる,taberu,eat,"食べたの？
Have you eaten?"
,nijiru,edge forward,"彼女のドレスはにじの色のほとんどがそろっている。
Her dresses show most of the hues of the rainbow."
メールする,me-ru suru,email,"後でちゃんと調べてメールする。
I will email you after I check it thoroughly."
抱く,daku,"embrace, hug","彼は彼女をしっかりと抱いた。
He held her tightly."
励ます,hagemasu,encourage,"僕が彼を励ましに行こう。
I will go to encourage him."
終わる,owaru,end,"いつ終わるの？
When’s it over?"
楽しむ,tanoshimu,"enjoy, have fun","楽しんでね。
Have a good time."
入る,hairu,enter,お入りください。Come in.
優れる,sugureru,"excel, be excellent, be superior",優れたコンピューターでもチェスではあなたを負かせない。 Even a good computer cannot beat you at chess. ▾
運動する,undousuru,exercise,"毎日運動するようにする。
Exercise every day."
取り換える,torikaeru,exchange,彼らは欠陥テレビを新しいのと取りかえた。 They replaced the defective TV with a new one.
期待する,kitai suru,expect,"彼におおいに期待している。
I expect a lot from him."
目にあう,me ni au,experience,"ひどい目にあった。
I had a terrible experience."
説明する,setsumei suru,explain,"詳しく説明してください。
Please explain in detail."
出す,dasu,"extract, take out","金を出しなさい。
Get out your money."
向かう,mukau,"face, turn/head toward","彼は家に向かった。
He made for home."
失敗する,shippai suru,fail,"彼は多分失敗するだろう。
He will probably fail."
眠る,nemuru,fall asleep,"彼は眠っている。
He’s asleep."
転ぶ,korobu,fall down,"赤ん坊はよく転ぶ。
Babies often fall down."
倒れる,taoreru,"fall down, collapse",木が倒れた。The tree fell down.
降る,furu,fall from the sky,"雪が降った。
It snowed."
惚れる,horeru,fall in love,"君に惚れてる。
I’m falling in love with you."
下がる,sagaru,"fall, drop, hang","温度が下がる。
The temperature falls."
落ちる,ochiru,"fall, go down","葉が落ちた。
The leaves fell."
おならをする,onara wo suru,fart,"おばあさんは必ずおならをする。
The old lady is bound to fart."
怖がる,kowagaru,fear,彼女は吠える犬を怖がる。 She is afraid of barking dogs.
恐れる,osoreru,"fear, be in awe of","恐れるな。
Don’t be afraid."
めいる,meiru,feel depressed,"雨の日は気がめいるよ。
Rainy days make me depressed."
沈む,shizumu,"feel depressed, sink","船が沈んでいく。
The ship is sinking."
,hoteru,feel hot,顔がほてります。My cheeks burn.
感じる,kanjiru,"feel, sense",生を感じる。 I feel alive.
,ijiru,fiddle with,"その鍵をいじるな！
Don’t play with that key!"
闘う,tatakau,"fight against, struggle against","病気と闘う。
Struggle with disease."
見つける,mitsukeru,find,"これから見つけます。
I’ll find one later."
終わる,owaru,finish,
片付ける,katazukeru,"finish, tidy up, clean",テーブルを片付()けなさい。Clear off the tabl
釣る,tsuru,fish,彼は魚を３匹釣った。He caught three fish.
,ukabu,"float, come to mind",すばらしいアイデアがうかんだよ。I’ve got a splendid idea.
流れる,nagareru,"flow, be called off","涙が流れている。
Tears flow down."
畳む,tatamu,fold,"布団をたたみなさい。
Fold up your futon."
忘れる,wasureru,forget,忘れないでください。Please do not forget.
許す,yurusu,"forgive, allow,","あなたが後悔しているのなら許してあげよう。As you are sorry, I’ll forgive you."
並ぶ,narabu,"form a line, equal","並んでお待ちください。
Wait in line, please."
集まる,atsumaru,"gather, assemble","明日集まりましょう。
Let’s get together tomorrow"
仰ぐ,aogu,"gaze, look up, respect, fan oneself","空を仰ぎ見る。
Look up to the skies."
得る,eru,get,彼は即答を得た。 He won an immediate response.
怒る,okoru,get angry,"まあまあ、そう怒らないでくださいな。 Now, please don’t get so angry."
着換える,kikaeru,get changed,私はもう着替えました。 I have already changed my clothes.
曇る,kumoru,get cloudy,曇ってきた。 It’s getting cloudy.
太る,futoru,get fat,"彼女は太っているとはいえないまでも大柄な人だ。 She is large, not to say fat."
こえる,koeru,"get fat, grow fertile / cross over, exceed",彼女は少なくとも４０才は越えていると思う。 I think she’s over 40 years old.
入る,iru,get in,補足情報には、副詞や副詞のはたらきをするものが入ります。 Supplementary information includes adverbs and things that function as adverbs. ▾
降りる,oriru,"get off, go down",姫路駅で降りなさい。 Get off at Himeji Station
疲れる,tsukareru,get tired,目が疲れやすいです。 My eyes get tired very easily.
起きる,okiru,get up,早く起きろ。 Get up early
慣れる,nareru,"get used to, become familiar with",夜更かしになれている。 I’m used to staying up late.
暖まる,atatamaru,get warm,"味噌汁が温まった。
The miso soup has heated up."
あげる,ageru,give,あなたは時には妹さんにおこづかいをあげますか。Do you sometimes give your sister money?
くれる,kureru,give (the giver is not the speaker),"「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」 “Say, you, the lady over there.” “Eh?” “Could you give me a bit of advice?”"
返す,kaesu,"give back, return (something to someone)",必ず明日その本を返しなさい。 Don’t fail to return the book tomorrow.
,omoikiru,give up all thoughts of;  to abandon,彼女の事が思い切れない。 I can’t forget her.
睨む,niramu,"glare at, keep an eye on",彼はにくらしげに彼女をにらんだ。 He stared at her with hatred.
齧る,kajiru,"gnaw, nibble",犬は肉を骨からかじりとった。 The dog bit meat off the bone.
行く,iku,go,幼なじみが春から大阪の大学に行くらしい。 Apparently an old friend of mine is going to a university in Osaka in Spring. ▾
進む,susumu,"go forward, advance",エイズウイルスの拡散は恐るべき速さで進んでいる。 The speed of the spread of AIDS is horrifyingly fast.
狂う,kuruu,"go mad, be out of order",私の時計は狂っている。 My watch is broken.
出る,deru,go out,"月も出ていない闇夜だった。 It was a dark night, with no moon."
出かける,dekakeru,"go out, leave home",旅に出かけたい気がする。 I feel like going on a trip.
回る,mawaru,go round,葉が空中でぐるぐる回っていた。 Leaves were whirling in the air.
上がる,agaru,"go up, rise","幕があがった。
The curtain rose"
握る,nigiru,grasp,彼女はロープをしっかりと握った。 She took a strong hold on the rope. ▾
迎える,mukaeru,"greet, meet, welcome",友人を迎えに駅まで行ってきたところだ。 I’ve been to the station to meet a friend.
生える,haeru,grow,"植物が生える。
Plants grow."
暮れる,kureru,grow dark (sunset),"冬の日は速く暮れる。
In the winter, days are shorter."
歳取る,toshitoru,grow old,"みんな死んでいくな。俺も歳取るはずだ。
Everyone dies. I’ll grow old to"
静まる,shizumaru,grow quiet,"嵐は静まった。
The storm has died down."
茂る,shigeru,grow thick,こんもりと茂った木々の葉を通して日光が差し込んだ。 The sunshine penetrated the thick leaves of the trees.
育つ,sodatsu,"grow up, be raised",彼女は金持ちの家庭に育った。 She was brought up in a rich family.
,guchiru,grumble,「うちの愛妻がケチでさー」「のろけてる？愚痴ってる？」 “My wonderful wife is so stingy that …” “You boasting? Or complaining?”
渡す,watasu,hand over,"かれに財布を渡して。
Just give him the wallet."
有る,aru,have,"緑色のはありますか。
Do you have any in green?"
持つ,motsu,"have, hold, own","胃がもたれます。
My stomach feels heavy."
聞く,kiku,hear,"聞いてるの。
Do you hear me?"
助ける,tasukeru,help,"助けてください。
I need help."
助ける,tasukeru,help,"ワインは消化を助ける。
Wine helps digest food."
手伝う,tetsudau,help,"彼女は彼を手伝った。
She helped him."
隠れる,kakureru,hide (oneself),"トムはテーブルの下に隠れた。
Tom hid under the table."
隠す,kakusu,hide (something),"ベッドの下に隠さないでよ。
Don’t hide under the bed."
仄めかす,honomekasu,hint,"彼女は我々と行きたいのだとほのめかした。
She implied that she would like to come with us."
雇う,yatou,"hire, employ","あなたは彼を雇うことができる。
You can employ him."
抱える,kakaeru,"hold (in your arms), have","トムは大きな問題を抱えている。
Tom has a big problem."
急ぐ,isogu,hurry,"急いで！
Step on it!"
痛める,itameru,"hurt, injured","ひじを痛めました。
I hurt my elbow."
想像する,souzou suru,imagine,"月の上にいると想像しなさい。
Imagine yourself to be on the moon."
増える,fueru,increase,"体重が増えています。
I’m gaining weight."
示す,shimesu,"indicate, point out","雪は冬の到来を示す。
Snow indicates the coming of winter."
苦しめる,kurushimeru,"inflict pain, torment","あなたは虚言で私は苦しめる。
Your lies pain me."
誘う,sasou,"invite, tempt",彼女は中に入るよう誘った。She invited him in.
やじる,yajiru,jeer at,彼らは彼の提案をやじった。They hooted at his suggestion.
冗談を言う,jōdan o iu,joke,彼はそれについて冗談を言った。 He made a joke about it.
飛ぶ,tobu,"jump, fly",鳥は飛ぶ。Birds fly.
飼う,kau,"Keep (a pet), raise, rear",彼女は猫を飼っている。その猫は白い。 She has a cat. The cat is white
蹴る,keru,kick,彼は私の横っ腹を蹴った。 He kicked my side.
