Kanji,Hiragana,Meaning
雨,あめ,rain
嵐,あらし,storm
暖かい,あたたかい,warm
暑い,あつい,hot
青空,あおぞら,blue sky
吹く,ふく,blow
降る,ふる,to fall
晴,はれ,a clear day
晴れる,はれる,to clear up
稲妻,いなずま,lightning
雷,かみなり,thunderstorm
風,かぜ,wind
気温,きおん,temperature
霧,きり,fog
季節,きせつ,season
雲,くも,cloud
曇り,くもり,a cloudy day
曇る,くもろ,to cloud up
蒸し暑い,むしあつい,hot and humid
虹,にじ,rainbow
温度計,おんどけい,thermometer
寒い,さむい,cold(weather)
四季,しき,4 season
空,そら,sky
涼しい,すずしい,cool
台風,たいふう,typhoon
お天気,おてんき,weather
天気予報,てんきよほう,weather report
梅雨,つゆ,rainy season
雪,ゆき,snow
母,はは,mother
父,ちち,father
兄,あに,older brother
姉,あね,older sister
弟,おとうと,younger brother
妹,いもうと,younger sister
息子,むすこ,son
娘,むすめ,daughter
家族,かぞく,family
子供,こども,child
親,おや,parents
伯父,おじ,uncle
伯母,おば,auntie
祖父,そふ,grandfather
祖母,そぼ,grandmother
妻,つま,wife
主人,しゅじん,husband
お母さん,おかあさん,mother
お父さん,おとうさん,father
お兄さん,おにいさん,older brother
お姉さん,おねえさん,older sister
弟さん,おとうとさん,younger brother
妹さん,おねえさん,younger sister
息子さん,むすこさん,son
娘さん,むすめさん,daughter
ご家族,ごかぞく,family
お子さん,おこさん,child
ご両親,ごりょうしん,parents
おじさん,おじさん,uncle
おばさん,おばさん,auntie
おじいさん,おじいさん,grandfather
おばあさん,おばあさん,grandmother
奥さん,おくさん,wife
ご主人,ごしゅじん,husband
独身,どくしん,single(person)
夫婦,ふうふ,married couple
夫人,ふじん,"lady, woman"
義理の母,ぎりのはは,mother in law
いとこ,いとこ,cousin
家庭,かてい,home
結婚する,けっこんする,to get married
兄弟,きょうだい,siblings
孫,まご,grandchild
めい,めい,niece
おい,おい,nephew
おやこ,おやこ,parent and child
先祖,せんぞ,ancestors
姉妹,しまい,sisters
親戚,しんせき,relatives
嫁,よめ,daughter in law
むこ,むこ,son in law